method,accuracy,precision,recall,f1_score,n_features
Grid Search RF,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,30.0
NSGA-II (DEAP),0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,9.0
RF Importance + RandomForest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,30.0
RFE + RandomForest,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,7.0
PCA + RandomForest,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,10.0
Random Search RF,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286,30.0
